key,value,data
Science Fiction,47,1993
Family,43,1993
Horror,42,1993
Action,109,1993
Romance,77,1993
Thriller,98,1993
War,8,1994
Animation,27,1994
Music,14,1994
Comedy,186,1994
History,11,1994
Western,10,1994
Crime,48,1994
Adventure,57,1994
Drama,235,1994
Fantasy,37,1994
Mystery,29,1994
Foreign,23,1994
TV Movie,14,1994
Documentary,27,1994
Science Fiction,45,1994
Family,59,1994
Horror,36,1994
Action,109,1994
Romance,90,1994
Thriller,95,1994
War,13,1995
Animation,28,1995
Music,7,1995
Comedy,171,1995
History,18,1995
Western,11,1995
Mystery,23,1995
Adventure,54,1995
Drama,275,1995
Science Fiction,61,1995
Crime,64,1995
Foreign,13,1995
TV Movie,12,1995
Documentary,34,1995
Fantasy,38,1995
Family,59,1995
Horror,48,1995
Action,121,1995
Romance,100,1995
Thriller,111,1995
War,13,1996
Animation,22,1996
Music,15,1996
Comedy,219,1996
History,17,1996
Western,5,1996
Crime,56,1996
Adventure,47,1996
Drama,327,1996
Fantasy,34,1996
Mystery,27,1996
Foreign,26,1996
TV Movie,22,1996
Documentary,25,1996
Science Fiction,55,1996
Family,49,1996
Horror,40,1996
Action,93,1996
Romance,120,1996
Thriller,120,1996
War,8,1997
Animation,34,1997
Music,14,1997
Comedy,206,1997
History,22,1997
Western,5,1997
Adventure,63,1997
Drama,301,1997
Fantasy,49,1997
Crime,77,1997
Foreign,31,1997
TV Movie,11,1997
Mystery,34,1997
Science Fiction,56,1997
Documentary,38,1997
Family,56,1997
Horror,37,1997
Action,112,1997
Romance,126,1997
Thriller,124,1997
War,19,1998
Animation,33,1998
Music,27,1998
Comedy,228,1998
History,17,1998
Western,4,1998
Crime,79,1998
Adventure,59,1998
Drama,337,1998
Fantasy,44,1998
Mystery,37,1998
Foreign,42,1998
TV Movie,17,1998
Documentary,51,1998
Science Fiction,48,1998
Family,59,1998
Horror,46,1998
Action,103,1998
Romance,140,1998
Thriller,129,1998
War,11,1999
Animation,35,1999
Music,22,1999
Comedy,238,1999
History,19,1999
Western,10,1999
Crime,62,1999
Adventure,40,1999
Drama,336,1999
Fantasy,43,1999
Mystery,36,1999
Foreign,46,1999
TV Movie,14,1999
Documentary,50,1999
Science Fiction,54,1999
Family,64,1999
Horror,54,1999
Action,100,1999
Romance,137,1999
Thriller,128,1999
War,18,2000
Animation,44,2000
Music,30,2000
Documentary,52,2000
History,22,2000
Western,4,2000
Crime,74,2000
Adventure,47,2000
Drama,394,2000
Fantasy,39,2000
Mystery,42,2000
Foreign,57,2000
TV Movie,18,2000
Comedy,260,2000
Science Fiction,46,2000
Family,61,2000
Horror,66,2000
Action,109,2000
Romance,155,2000
Thriller,137,2000
War,23,2001
Animation,42,2001
Music,23,2001
Comedy,270,2001
History,24,2001
Western,5,2001
Crime,86,2001
Adventure,64,2001
Drama,408,2001
Science Fiction,68,2001
Mystery,42,2001
Foreign,62,2001
TV Movie,23,2001
Documentary,65,2001
Fantasy,51,2001
Family,66,2001
Horror,64,2001
Action,150,2001
Romance,162,2001
Thriller,156,2001
War,21,2002
Animation,50,2002
Music,28,2002
Comedy,270,2002
History,23,2002
Western,3,2002
Adventure,72,2002
Drama,456,2002
Fantasy,47,2002
Crime,93,2002
Foreign,72,2002
TV Movie,12,2002
Mystery,62,2002
Science Fiction,69,2002
Documentary,76,2002
Family,75,2002
Horror,68,2002
Action,161,2002
Romance,153,2002
Thriller,183,2002
War,15,2003
Animation,47,2003
Music,31,2003
Documentary,87,2003
History,21,2003
Western,8,2003
Crime,88,2003
Adventure,70,2003
Drama,395,2003
Fantasy,34,2003
Mystery,42,2003
Foreign,58,2003
TV Movie,13,2003
Comedy,297,2003
Science Fiction,64,2003
Family,76,2003
Horror,71,2003
Action,150,2003
Romance,138,2003
Thriller,182,2003
War,19,2004
Crime,76,2004
Music,25,2004
Documentary,103,2004
History,26,2004
Western,6,2004
Comedy,307,2004
Adventure,82,2004
Drama,494,2004
Fantasy,45,2004
Animation,47,2004
Foreign,72,2004
TV Movie,17,2004
Mystery,47,2004
Science Fiction,66,2004
Family,62,2004
Horror,96,2004
Action,155,2004
Romance,167,2004
Thriller,167,2004
War,18,2005
Animation,48,2005
Music,36,2005
Comedy,347,2005
History,28,2005
Western,4,2005
Adventure,70,2005
Drama,563,2005
Fantasy,62,2005
Crime,98,2005
Foreign,82,2005
TV Movie,17,2005
Mystery,57,2005
Science Fiction,62,2005
Documentary,112,2005
Family,89,2005
Horror,113,2005
Action,156,2005
Romance,189,2005
Thriller,195,2005
War,19,2006
Mystery,70,2006
Music,38,2006
Comedy,377,2006
History,43,2006
Western,4,2006
Animation,74,2006
Adventure,96,2006
Drama,596,2006
Fantasy,72,2006
Crime,114,2006
Foreign,75,2006
TV Movie,27,2006
Documentary,140,2006
Science Fiction,73,2006
Family,92,2006
Horror,150,2006
Action,173,2006
Romance,200,2006
Thriller,268,2006
War,20,2007
Animation,71,2007
Music,49,2007
Comedy,371,2007
History,37,2007
Western,8,2007
Crime,127,2007
Adventure,80,2007
Drama,620,2007
Science Fiction,74,2007
Mystery,61,2007
Foreign,94,2007
TV Movie,22,2007
Documentary,157,2007
Fantasy,63,2007
Family,79,2007
Horror,169,2007
Action,189,2007
Romance,197,2007
Thriller,250,2007
War,37,2008
Animation,79,2008
Music,43,2008
Comedy,410,2008
History,47,2008
Western,9,2008
Crime,121,2008
Adventure,119,2008
Drama,655,2008
Fantasy,73,2008
Mystery,83,2008
Foreign,94,2008
TV Movie,19,2008
Documentary,186,2008
Science Fiction,92,2008
Family,99,2008
Horror,180,2008
Action,233,2008
Romance,190,2008
Thriller,285,2008
War,25,2009
Animation,77,2009
Music,54,2009
Comedy,471,2009
History,45,2009
Western,11,2009
Thriller,346,2009
Adventure,128,2009
Drama,701,2009
Science Fiction,126,2009
Crime,127,2009
Foreign,120,2009
TV Movie,29,2009
Mystery,100,2009
