,name,gender,all_time_final_score
73476,Michael Beattie,2,85.32723850182936
40462,Kristen Bell,1,85.273244553719
11006,James Marsden,2,85.2613572771764
2714,Lance Henriksen,2,85.17243957760715
28782,Monica Bellucci,1,85.12868072411489
4090,Shirley MacLaine,1,84.93584966064697
9827,Rose Byrne,1,84.83879464029087
76512,Jason Clarke,2,84.65864809015389
87822,Damon Wayans Jr.,2,84.30202332729539
17401,Stephen Root,2,84.22282697351953
9777,Cuba Gooding Jr.,2,84.19405476186904
46593,Emile Hirsch,2,84.17580319286016
4,Carrie Fisher,1,84.16970828671381
7904,Billy Crystal,2,84.08032189725688
3196,Juliette Lewis,1,84.01150771460543
1341,Donnie Yen,2,84.00523447945048
3926,Albert Finney,0,83.88515742018393
11288,Robert Pattinson,2,83.728602539088
9048,Clark Gregg,2,83.56739307366846
41292,Keri Russell,1,83.47013501773027
17419,Bryan Cranston,2,83.42438204019474
9824,Diane Kruger,1,83.13031333686128
108916,Rooney Mara,1,82.9926979830854
3380,Bette Davis,1,82.63554147595623
4587,Halle Berry,1,82.61542465170257
140,Lucy Liu,1,82.2131299704316
8252,William Holden,2,82.16195665844957
4784,Laura Dern,1,82.13913651447812
4517,Joe Pesci,2,82.00355300024756
13726,Ned Beatty,2,81.98742715480962
5168,Gabriel Byrne,2,81.7388490214767
11160,Danny Trejo,2,81.56806634946004
4175,Jeffrey Tambor,2,81.56370090671848
9880,Sam Shepard,2,81.5055287859852
5344,Meg Ryan,1,81.26159340358005
11148,Joan Allen,1,81.11581654150648
17485,Oliver Platt,2,81.10930235772568
448,Hilary Swank,1,81.09694977907446
11357,Bruce Campbell,2,81.06380632080172
5563,James Coburn,2,81.00049507220083
516,Annette Bening,1,80.908064387336
147,Michael Madsen,2,80.83568350176759
5419,Saïd Taghmaoui,0,80.78338915146027
17142,Paul Dano,2,80.74418255016727
1371,David Wenham,2,80.58812685496078
37625,Andrew Garfield,2,80.53971559517747
467645,Boyd Holbrook,2,80.53612201354396
1619,Chow Yun-fat,2,80.40136676821515
5724,Denis Leary,2,80.29719999812865
133,Peter Sarsgaard,2,79.85007076630346
81685,Frank Grillo,2,79.7112811227517
6905,Bruce Dern,1,79.70432302485646
5401,Anthony Quinn,2,79.58171072481187
11155,Thomas Jane,2,79.56613090391106
13848,Charlie Chaplin,2,79.48106063425388
10823,Kris Kristofferson,2,79.4071010418592
5538,Ray Winstone,2,79.36663071323895
11705,Michelle Monaghan,1,79.29898056621414
21028,Anton Yelchin,2,79.24207826732174
1294,Missi Pyle,1,79.22130040539295
25072,Oscar Isaac,2,79.1630325617569
7502,Ernest Borgnine,2,78.89662373265071
236696,Terry Notary,0,78.79847065410846
1932,Audrey Hepburn,0,78.73635781120471
13550,Elias Koteas,2,78.6773391645727
8654,Matthew Modine,2,78.63119785570937
8944,Jamie Lee Curtis,1,78.50421935362473
8436,Miranda Richardson,1,78.46643703087985
586,Sean Young,1,78.43164388912317
10912,Eva Green,1,78.35450631565068
13565,Steve McQueen,2,78.26651351371429
21657,Vera Farmiga,1,78.21105622806834
1308445,Carrie Coon,1,78.14361192882116
44079,Charlotte Rampling,1,78.04444504483283
15033,Justin Long,2,77.98836593526488
13,Albert Brooks,2,77.95900480425105
