id,name,gender,all_time_final_score
3359,Laurence Olivier,2,66.79169092
10860,Jessica Biel,1,66.6796072
2641,Martin Landau,2,66.51906669
6832,Melissa Leo,1,66.50282888
11662,Jason Lee,2,66.40085454
4492,Philip Baker Hall,2,66.34991519
9029,Stephen Rea,2,66.34903198
33235,Logan Lerman,2,66.29114239
12041,Julia Stiles,1,66.23501313
34847,Emma Roberts,1,66.18379486
18792,Delroy Lindo,2,66.15412357
5823,Julie Andrews,1,66.14487208
4935,Pete Postlethwaite,2,66.1117405
4238,Common,0,66.079175
1246,Emily Mortimer,1,66.04858901
225730,Ryunosuke Kamiki,2,66.0217848
11864,Ryan Phillippe,2,65.97195705
18992,Aidan Quinn,2,65.92782975
94185,Shailene Woodley,1,65.92381166
11885,John C. McGinley,2,65.88316139
1222992,Eiza González,1,65.84434463
1981,Alfre Woodard,1,65.84305022
11512,John Heard,2,65.67463863
41088,Jason Segel,2,65.58217223
17402,Ron Livingston,2,65.49321593
4765,Jason Robards,2,65.46497527
30485,CCH Pounder,1,65.42214681
121323,Bess Flowers,1,65.37841978
77335,Ben Mendelsohn,2,65.30919307
5606,Sissy Spacek,1,65.22602549
11356,Imelda Staunton,1,65.22415638
6197,Brian Dennehy,2,65.13475446
6368,Embeth Davidtz,1,65.0840446
10696,Famke Janssen,1,64.96829149
15852,Ashley Judd,1,64.95766504
352,Dennis Haysbert,2,64.93240937
2076,David Warner,2,64.91384218
1904,Anthony Michael Hall,2,64.86971981
15757,Ray Romano,2,64.82306683
4431,Jessica Lange,1,64.61772219
13548,James Spader,2,64.55659231
7908,Frank Oz,2,64.54004978
2299,Josh Hartnett,2,64.51938208
52848,Isla Fisher,1,64.44932007
936,Oliver Reed,2,64.4260379
522,Rod Steiger,2,64.36282136
36594,Juno Temple,1,64.33571406
16644,Dolph Lundgren,2,64.2889715
